Latitude,Longitude,landslide
25.351311,94.222514,1
25.363278,94.228389,1
25.379611,94.146667,1
25.379878,94.214606,1
25.417778,94.077222,1
25.421028,94.070472,1
25.421111,94.077,1
25.421656,94.071,1
25.427231,94.048914,1
25.428889,94.043861,1
25.42955,94.053333,1
25.433231,94.070986,1
25.4351,94.071111,1
25.435444,94.061928,1
25.439367,94.025864,1
25.440961,94.046264,1
25.444322,94.046858,1
25.444333,94.006631,1
25.446611,94.049511,1
25.447378,94.049444,1
25.448389,94.003139,1
25.451814,94.049944,1
25.452417,94.018919,1
25.47217,94.15433,1
25.5,94.389,1
25.51378,94.14089,1
25.514,94.137,1
25.51591667,94.13652778,1
25.517,93.957,1
25.52,93.958,1
25.521,93.964,1
25.52103,94.13783,1
25.523,93.873,1
25.523,93.898,1
25.523,93.899,1
25.523,93.955,1
25.527,93.953,1
25.528,93.871,1
25.528,93.872,1
25.529,93.952,1
25.529,93.87,1
25.53128,94.16536,1
25.532,93.927,1
25.54039,94.16989,1
24.85397,93.61937,1
24.8587,93.61439,1
24.85534,93.62409,1
25.471526,94.151784,1
24.979,93.496,1
24.524125,93.816333,1
24.517056,93.817056,1
25.6495419,94.1068683,1
25.476047,94.146074,1
24.79833333,93.65505556,1
24.79472222,93.65577778,1
24.7955,93.73605556,1
24.79727778,93.73777778,1
24.985,93.52113889,1
24.79083333,93.72333333,1
25.67341667,91.06625,1
25.67469444,91.88652778,1
24.82908333,93.50694444,1
24.84563889,93.50202778,1
24.86461111,93.59888889,1
24.86469444,93.62116667,1
24.86297222,93.62397222,1
24.73133333,93.92738889,1
24.82022222,94.35255556,1
25.07849444,94.23608333,1
25.35366667,94.06508333,1
25.24868889,93.85251111,1
24.80664722,93.66738056,1
24.786938,93.657893,1
24.788159,93.663215,1
24.786357,93.657951,1
24.791125,93.72522,1
24.794493,93.652745,1
24.787526,93.662891,1
24.789504,93.66385,1
24.846509,93.573533,1
24.863924,93.617853,1
24.862146,93.595644,1
24.859576,93.576244,1
25.066715,94.349728,1
24.984331,94.228244,1
